course title,course url,course description,Ratings,reviews,duration,Lectures,course level,instructors
PyTorch: Deep Learning with PyTorch - Masterclass!: 2-in-1,https://www.udemy.com/course/pytorch-deep-learning-with-pytorch-masterclass-2-in-1/,Start your journey with PyTorch to build useful & effective models with the PyTorch Deep Learning framework from scratch,Rating: 4.1 out of 5,73 reviews,7.5 total hours,65 lectures,Beginner,Packt Publishing
Data Science with R,https://www.udemy.com/course/data-science-with-r/,"Learn Data Science using R from scratch. Build your career as a Data Scientist. Explore knitr, buzz dataset, adv methods",Rating: 3.9 out of 5,73 reviews,23 total hours,39 lectures,All Levels,Uplatz Training
LaTeX for everyone 2021,https://www.udemy.com/course/latex-for-data-scientists-2020-and-for-non-data-scientists/,LaTeX for everyone!,Rating: 4.1 out of 5,73 reviews,2 total hours,23 lectures,All Levels,David Armendáriz
Taming Regular Expressions (REGEX) - Complete Guide to Regex,https://www.udemy.com/course/taming-regex-a-complete-guide-to-regular-expressions/,"Regular Expression (Regex) examples in Python, PHP, HTML5, Sheets and PowerShell for you to practice on.",Rating: 4.5 out of 5,73 reviews,7 total hours,59 lectures,All Levels,Paul Ogier
Hands-On Machine Learning for .NET Developers,https://www.udemy.com/course/hands-on-machine-learning-for-net-developers/,Use machine learning today without a machine learning background,Rating: 4.4 out of 5,73 reviews,3 total hours,31 lectures,Beginner,Packt Publishing
Image Processing and Computer Vision with Python & OpenCV,https://www.udemy.com/course/image-processing-and-computer-vision-with-python-opencv/,Learn Image Processing and Computer Vision from AI (ML & DL) professional,Rating: 4.3 out of 5,72 reviews,9.5 total hours,77 lectures,All Levels,Shiv Onkar Deepak Kumar
Machine learning with python [Data Science],https://www.udemy.com/course/machine-learning-with-python-d/,"Machine Learning Algorithms with Python(Data Science)  with Projects  examples, quizes  & test-series",Rating: 5.0 out of 5,72 reviews,5 total hours,45 lectures,All Levels,Aakash Singh
Statistical Decision Making in Data Science with Case Study,https://www.udemy.com/course/linear-regression-with-case-study-in-python-2020/,"Understand how Statistics is Applied to Data Science Problem like ANOVA, t-test, F-test in Python",Rating: 4.5 out of 5,72 reviews,1 total hour,14 lectures,Beginner,"Data Science Anywhere, Sudhir G, Gusksra R"
Tensorflow for Beginners,https://www.udemy.com/course/tensorflow-for-beginners/,A complete guide for building machine learning and deep learning solutions using Tensorflow,Rating: 3.9 out of 5,72 reviews,4 total hours,20 lectures,Beginner,"Eduonix Learning Solutions, Eduonix-Tech ."
Complete Python Machine Learning & Data Science for Dummies,https://www.udemy.com/course/machine-learning-with-python-for-dummies-the-complete-guide/,"Machine Learning and Data Science for programming beginners using python with  scikit-learn, SciPy, Matplotlib & Pandas",Rating: 4.3 out of 5,71 reviews,10.5 total hours,90 lectures,All Levels,Abhilash Nelson
Data Visualization with Python and Power BI,https://www.udemy.com/course/data-visualization-with-python-and-power-bi/,Learn to create BI reports and Charts with Python Matplotlib and Seaborn,Rating: 3.4 out of 5,71 reviews,1.5 total hours,20 lectures,All Levels,Harshit Srivastava
NLP-Natural Language Processing in Python(Theory & Projects),https://www.udemy.com/course/nlp-natural-language-processing-in-python-for-beginners/,"Natural Language Processing using Spacy, NLTK, PyTorch, Natural Language Processing with Hands-on Projects",Rating: 4.6 out of 5,72 reviews,23.5 total hours,258 lectures,All Levels,"AI Sciences, AI Sciences Team"
XGBoost Master Class in Python,https://www.udemy.com/course/xgboost-master-class-in-python/,A Complete Introduction to XGBoost,Rating: 3.6 out of 5,71 reviews,1.5 total hours,29 lectures,Intermediate,Mike West
Python for Data Science Bootcamp 2022: From Zero to Hero,https://www.udemy.com/course/python-for-data-science-bootcamp-2022-from-zero-to-hero/,"Learn Data Science with Python, Pandas, Scikit-learn, and more! | 4 Projects | 100+ exercises",Rating: 4.1 out of 5,71 reviews,17.5 total hours,124 lectures,All Levels,Frank Andrade
Deep Learning with Google Colab,https://www.udemy.com/course/deep-learning-with-google-colab/,"Implementing and training deep learning models in a free, integrated environment",Rating: 4.6 out of 5,71 reviews,5.5 total hours,61 lectures,Intermediate,BPB Online + 100 Million Books Sold
100+ Exercises - Python - Data Science - scikit-learn - 2022,https://www.udemy.com/course/100-exercises-python-data-science-scikit-learn/,"Improve your machine learning skills and solve over 100 exercises in python, numpy, pandas and scikit-learn!",Rating: 4.6 out of 5,71 reviews,1 total hour,112 lectures,Beginner,Paweł Krakowiak
Machine Learning For Researchers,https://www.udemy.com/course/machine-learning-for-researchers/,Learn Research Methods & Machine Learning,Rating: 4.8 out of 5,70 reviews,5.5 total hours,13 lectures,All Levels,"Academy of Computing & Artificial Intelligence, Kaneeka Vidanage"
Ultimate Neural Nets and Deep Learning Masterclass in Python,https://www.udemy.com/course/neural-nets/,The best way to learn machine learning and AI using python: simply and fully explained concepts with practical exercises,Rating: 3.9 out of 5,70 reviews,6.5 total hours,52 lectures,Beginner,John Harper
YOLOv4 Object Detection Course,https://www.udemy.com/course/yolov4-object-detection-nano-course/,How to Implement & Train YOLOv4 for Object Detection,Rating: 4.0 out of 5,70 reviews,5.5 total hours,57 lectures,All Levels,"Augmented Startups, Geeky Bee AI Private Limited"
"R for Data Analysis, Statistics and Data Science",https://www.udemy.com/course/statistical-data-analysis-using-r/,"Data Analysis & Data Science using R : Descriptive & Inferential Statistics, Data Visualization, Hypothesis Testing",Rating: 3.6 out of 5,70 reviews,8 total hours,79 lectures,Beginner,Syed Mohiuddin
Avaya IP Office Server,https://www.udemy.com/course/avaya-ip-office-server-kn/,Learn Avaya IP Office Intelligent Communications and Artificial Intelligence,Rating: 3.9 out of 5,70 reviews,3 total hours,29 lectures,Beginner,Juan Sebastian Garcia
Machine Learning with Python: Data Science for Beginners,https://www.udemy.com/course/machine-learning-with-python-data-science-for-beginners/,Data Science / Machine Learning is the most in-demand and Highest Paying job of 2017,Rating: 3.9 out of 5,69 reviews,11 total hours,67 lectures,All Levels,"TELCOMA Global 70,000+ Students!"
Data Science with R and Python | R Programming,https://www.udemy.com/course/full-stack-data-science-r-and-python/,"Python and R programming! Learn data science with R & Python with all in one course. You'll learn NumPy, Pandas and more",Rating: 4.1 out of 5,69 reviews,17 total hours,117 lectures,All Levels,Oak Academy
Imbalanced Learning (Unbalanced Data) - The Complete Guide,https://www.udemy.com/course/imbalanced-learning-the-complete-guide/,"Learn how to handle imbalanced data in Machine Learning. Data based approaches, algorithmic approaches and more!",Rating: 4.4 out of 5,69 reviews,5 total hours,61 lectures,Intermediate,Bassam Almogahed
Python for Data Science: Learn Data Science From Scratch,https://www.udemy.com/course/python-for-data-science-learn-data-science-from-scratch/,"Data Science with Python, NumPy, Pandas, Matplotlib, Data Visualization Learn with Data Science project & Python project",Rating: 4.6 out of 5,69 reviews,13 total hours,86 lectures,All Levels,Oak Academy
Creating Online Dashboards & Story Maps using arcGIS Online,https://www.udemy.com/course/creating-online-dashboards-and-storymaps-using-arcgis-online/,Master in Geospatial Data Visualization and Creating Story Maps using ArcGIS Online - 2021,Rating: 4.5 out of 5,68 reviews,2.5 total hours,25 lectures,All Levels,Shoaib Shahzad Obaidi
Quick Data Science Approach from Scratch for Beginners,https://www.udemy.com/course/data-science-approach-from-scratch/,Understand the Complete Data Science use through a Real Life problem - The Easiest Way to Understand Data Science,Rating: 5.0 out of 5,68 reviews,1 total hour,15 lectures,Beginner,Nizamuddin Siddiqui
Python Numpy: Machine Learning & Data Science Course,https://www.udemy.com/course/python-numpy-machine-learning-data-science-course/,Learn Numpy Python and get comfortable with Python Numpy in order to start into Data Science and Machine Learning.,Rating: 4.4 out of 5,68 reviews,9 total hours,66 lectures,All Levels,Oak Academy
Optimization Using Genetic Algorithms : MATLAB Programming,https://www.udemy.com/course/genetic-algorithm/,A Quick Way to Learn and Solve Optimization Problems in MATLAB. A Course for Beginners.,Rating: 4.5 out of 5,68 reviews,1 total hour,23 lectures,All Levels,Karthik K
Google Cloud Machine Learning with TensorFlow,https://www.udemy.com/course/google-cloud-machine-learning-with-tensorflow/,Train and predict your models using the Google Cloud ML Engine,Rating: 4.4 out of 5,68 reviews,4 total hours,40 lectures,Beginner,Packt Publishing
Complete Data Science & Machine Learning Bootcamp in Python,https://www.udemy.com/course/data-science-bootcamp-in-python/,"Learn Python,NumPy,Pandas,Matplotlib,Seaborn,Scikit-learn,Dask,LightGBM,XGBoost,CatBoost,Streamlit,Power BI & much more",Rating: 4.5 out of 5,67 reviews,18 total hours,365 lectures,All Levels,"Derrick Mwiti, Namespace Labs"
Artificial Neural Networks [ Theory & Hands-On ],https://www.udemy.com/course/artificial-neural-networks-theory-hands-on/,[Beginners Guide] Developing Artificial Neural Networks from Scratch & with a Framework,Rating: 3.5 out of 5,67 reviews,2 total hours,15 lectures,All Levels,Academy of Computing & Artificial Intelligence
"Python: Machine Learning, Deep Learning, Pandas, Matplotlib",https://www.udemy.com/course/python-machine-learning-deep-learning-pandas-matplotlib/,"Python, Machine Learning, Deep Learning, Pandas, Seaborn, Matplotlib, Geoplotlib, NumPy,  Data Analysis, Tensorflow",Rating: 4.3 out of 5,67 reviews,21.5 total hours,132 lectures,All Levels,"Oak Academy, Ali̇ CAVDAR"
Excel files with Python,https://www.udemy.com/course/excel-files-with-python/,Use Excel spreadsheets with Python,Rating: 3.6 out of 5,67 reviews,31 total mins,9 lectures,Intermediate,Frank Anemaet
Introduction to Machine Learning for Begineers[Data-science],https://www.udemy.com/course/introduction-to-machine-learning-for-begineers-u/,"Learn about Data Science and Machine Learning with Python including Pandas, matplotlib with projects,quizes,test-series",Rating: 4.4 out of 5,66 reviews,2 total hours,22 lectures,Beginner,Aakash Singh
"Python programming for Machine Learning , Data Analytics",https://www.udemy.com/course/python-programming-for-machine-learning-data-analytics/,Learn to create Machine Learning Algorithms in Python # Introduction to Data Science and Machine Learning [Step by Step],Rating: 3.9 out of 5,66 reviews,7.5 total hours,42 lectures,All Levels,Academy of Computing & Artificial Intelligence
Data Analysis and Statistical Modeling in R,https://www.udemy.com/course/data-analysis-and-statistical-modelling-in-r/,"Learn the foundation of Data Science, Analytics and Data interpretation using statistical tests with real world examples",Rating: 4.4 out of 5,66 reviews,5 total hours,37 lectures,All Levels,Jazeb Akram
Artificial Intelligence and Machine Learning Fundamentals,https://www.udemy.com/course/artificial-intelligence-and-machine-learning-fundamentals/,Learn to develop real-world applications powered by the latest advances in intelligent systems,Rating: 4.5 out of 5,66 reviews,8 total hours,53 lectures,Expert,Packt Publishing
"Data Science & Python: Maths, Python Libraries, Statistics",https://www.udemy.com/course/data-science-python-maths/,"Learn Python, Numpy, Pandas, Matplotlib, Linear Regression, Algebra, Statistics, Calculus, Projects & Data Visualisation",Rating: 4.5 out of 5,66 reviews,13 total hours,79 lectures,Beginner,"Peter Alkema, Tech 100"
Mastering Probability & Statistic Python (Theory & Projects),https://www.udemy.com/course/mastering-probability-and-statistics-in-python/,"Statistic & Probability for Machine Learning & Data Science: Learning Statistics, Probability & Bayes Classifier, Python",Rating: 4.6 out of 5,65 reviews,14 total hours,138 lectures,All Levels,"AI Sciences Team, AI Sciences"
Theoretical Machine Learning From Scratch - Linear Models,https://www.udemy.com/course/theoreritcalml1/,Learn the theory and math behind Linear and Logistic regression and also learn to code them from scratch,Rating: 4.6 out of 5,65 reviews,2 total hours,12 lectures,Beginner,Raviteja Kolapalli
Machine Learning for Absolute Beginners - Level 3,https://www.udemy.com/course/machine-learning-for-absolute-beginners-level-3/,"Learn to Master Data Visualization and perform Exploratory Data Analysis (EDA) using Python, Matplotlib and Seaborn",Rating: 4.7 out of 5,64 reviews,3 total hours,40 lectures,Intermediate,Idan Gabrieli
Statistics & Probability for Data Science & Machine Learning,https://www.udemy.com/course/statistics-probability-for-data-science-machine-learning/,"Know each & every concept - Descriptive, Inferential Statistics & Probability become expert in Stats for Data Science",Rating: 4.4 out of 5,64 reviews,29 total hours,43 lectures,All Levels,Rahul Tiwari
The Complete GANs Bootcamp: Theory and Applications,https://www.udemy.com/course/gans_bootcamp/,Master Generative Adversarial Networks (GANs) in no time,Rating: 4.3 out of 5,64 reviews,3 total hours,20 lectures,Beginner,Mahmoud Elsayed
Machine Learning and Data Science Essentials with Python & R,https://www.udemy.com/course/machine-learning-with-python-r/,"Master Machine Learning with Python, Tensorflow & R. Data Science is the most in-demand and Highest Paying Job of 2018",Rating: 4.4 out of 5,64 reviews,5.5 total hours,24 lectures,All Levels,"AkaSkills! 35,000+ Students"
Hands - On Reinforcement Learning with Python,https://www.udemy.com/course/hands-on-reinforcement-learning-with-python/,"A practical tour of prediction and control in Reinforcement Learning using OpenAI Gym, Python, and TensorFlow",Rating: 3.6 out of 5,63 reviews,4.5 total hours,32 lectures,Intermediate,Packt Publishing
Machine Learning & Data Science Masterclass in Python and R,https://www.udemy.com/course/machine-learning-data-science-masterclass/,"Machine learning with many practical examples. Regression, Classification and much more",Rating: 3.7 out of 5,63 reviews,17 total hours,204 lectures,Beginner,Denis Panjuta
Become an AWS SageMaker Machine Learning Engineer in 30 Days,https://www.udemy.com/course/become-an-aws-machine-learning-engineer-in-30-days-new-2022/,"[2022] Build 30+ ML Projects in 30 Days in AWS, Master SageMaker JumpStart, Canvas, AutoPilot, DataWrangler, Lambda & S3",Rating: 4.6 out of 5,63 reviews,41.5 total hours,473 lectures,Beginner,"Dr. Ryan Ahmed, Ph.D., MBA"
Predictive Analytics With R,https://www.udemy.com/course/predictive-analytics-with-r/,Enhance you analytics by Predictive Analytcis with R. Become an Analyst with easy programming code of R.,Rating: 3.9 out of 5,63 reviews,4.5 total hours,44 lectures,Beginner,Easylearning guru
Python Data Visualization using Seaborn - Beginners,https://www.udemy.com/course/seaborn-beginners-examturf/,Learn attractive and informative statistical graphics and data visualization in Python,Rating: 3.7 out of 5,63 reviews,2.5 total hours,17 lectures,Beginner,Exam Turf
Semantic Search engine using Sentence BERT,https://www.udemy.com/course/semantic-search-engine-using-sentence-bert/,Learn how to use Sentence BERT to find similar news headlines,Rating: 3.7 out of 5,62 reviews,2.5 total hours,13 lectures,Beginner,Evergreen Technologies
Practical Foundations of R Programming,https://www.udemy.com/course/practical-foundations-of-r-programming/,The basics of programming in R: R data structures; R subsetting operations; and R functions,Rating: 4.5 out of 5,62 reviews,8 total hours,101 lectures,Beginner,"Geoffrey Hubona, Ph.D."
RA: Retail Customer Analytics and Trade Area Modeling.,https://www.udemy.com/course/ra-retail-customer-analytics-and-trade-area-modeling/,"EP3: Learn Python and apply Customer analytics, Churn prediction, Customer Segmentation and Trade Area Modeling.",Rating: 3.8 out of 5,62 reviews,15.5 total hours,162 lectures,All Levels,Haytham Omar
Train and Deploy Tensorflow models using Google AI Platform,https://www.udemy.com/course/train-and-deploy-deep-learning-models/,Build your neural network with Tensorflow 2 | Train it using Google AI Platform | deploy it using Flask & Cloud Run,Rating: 4.4 out of 5,62 reviews,8.5 total hours,61 lectures,All Levels,Nour Islam Mokhtari
AI Machine Learning Complete Course: for PHP & Python Devs,https://www.udemy.com/course/ai-machine-learning-complete-course/,Build real-world AI & machine learning apps using both PHP & Python. No prior ML knowledge required. Full Code Included.,Rating: 4.5 out of 5,61 reviews,4.5 total hours,65 lectures,All Levels,"Amr Shawqy, Sameh Nabil"
Data Science:  Machine Learning algorithms in Matlab,https://www.udemy.com/course/machine-learning-step-by-step-guide/,A-Z Guide to Implementing Classic Machine Learning Algorithms From Scratch and with Matlab and maths.,Rating: 3.6 out of 5,61 reviews,2.5 total hours,26 lectures,Intermediate,Geek Cafe
R programming from Scratch & Practice Case Studies workout,https://www.udemy.com/course/introduction-to-r-programming-learn-r-syntax-by-example/,"Analytics / Data Science: Learn to Import, Sort, Merge, Subset, Append, Freq, Univariate, Regression, Derive variable",Rating: 3.8 out of 5,61 reviews,4 total hours,49 lectures,All Levels,Gopal Prasad Malakar
Unsupervised Machine Learning : With 2 Capstone ML Projects,https://www.udemy.com/course/unsupervised-machine-learning/,Learn Complete Unsupervised ML: Clustering Analysis and Dimensionality Reduction,Rating: 4.8 out of 5,61 reviews,3 total hours,51 lectures,All Levels,Data Is Good Academy
Machine Learning Applied to Stock & Crypto Trading - Python,https://www.udemy.com/course/machine-learning-applied-to-stock-crypto-trading-python/,"Use Unsupervised, Supervised and Reinforcement Learning techniques to gain an edge in trading Stocks, Crypto, Forex...",Rating: 4.7 out of 5,61 reviews,17.5 total hours,108 lectures,Beginner,Shaun McDonogh
Build 30 Real World Machine Learning Projects Practically,https://www.udemy.com/course/work-on-machine-learning-project-car-price-prediction/,Learn To Build Real World Machine Learning Projects Practically,Rating: 4.6 out of 5,60 reviews,26 total hours,182 lectures,All Levels,The Machine Learning
Text Analysis and Natural Language Processing With Python,https://www.udemy.com/course/text-analysis-and-natural-language-processing-with-python/,Use Python and Google CoLab For Social Media Mining and Text Analysis and Natural Language Processing (NLP),Rating: 4.5 out of 5,60 reviews,4.5 total hours,68 lectures,All Levels,Minerva Singh
BigQuery ML - Machine Learning in SQL using Google BigQuery,https://www.udemy.com/course/bigquery-ml-course/,Create Machine Learning models in Google Cloud Big Query using standard SQL. Big query ML course for ML & Data engineers,Rating: 4.6 out of 5,60 reviews,11 total hours,125 lectures,All Levels,J Garg - Real Time Learning
Data Science: Bitcoin Data Visualization &  Price Prediction,https://www.udemy.com/course/cryptocurrency-data-visualization-bitcoin-price-prediction/,Data Science: Hands-on & Practical Cryptocurrency Data Visualization & Bitcoin Price Forecasting using Machine Learning,Rating: 4.3 out of 5,60 reviews,1.5 total hours,14 lectures,Beginner,School of Disruptive Innovation
Reinforcement Learning & Deep RL Python(Theory & Projects),https://www.udemy.com/course/reinforcement-learning-deep-rl-pythontheory-projects/,"Reinforcement Learning: Deep Q-Learning, SARSA, Deep RL, with  Car Racing and Trading Project and Project and Interview",Rating: 4.5 out of 5,60 reviews,14.5 total hours,165 lectures,All Levels,"AI Sciences, AI Sciences Team"
Learn Data Analysis with Python Pandas,https://www.udemy.com/course/python-pandas-data-manipulation-and-analysis/,Real world examples of Python Pandas to analyse large data files. Create visual representations of your data.,Rating: 3.5 out of 5,59 reviews,2.5 total hours,32 lectures,All Levels,Tony Staunton
Guide to Big Data Analytics: Origination to Opportunities,https://www.udemy.com/course/big-data-analytics/,"Foundation in basic  big data analytic methods, technology and tools",Rating: 4.3 out of 5,59 reviews,2.5 total hours,59 lectures,Beginner,RankOne Consulting
Master Natural Language Processing & Build NLP Web App,https://www.udemy.com/course/nlp-natural-language-processing/,Create Word Cloud App Using Streamlit | Sentiment Analysis | Speech to text | Spam Detection | Code Walkthrough,Rating: 4.1 out of 5,58 reviews,4.5 total hours,52 lectures,Intermediate,"SeaportAi ., Sai Acuity Institute of Learning Pvt Ltd Enabling Learning Through Insight!"
The Hello World of Machine Learning in Python,https://www.udemy.com/course/the-hello-world-of-machine-learning-in-python/,Use Python to create a Machine Learning Algorithm from scratch.,Rating: 3.9 out of 5,58 reviews,2 total hours,16 lectures,Intermediate,Justin Mitchel
The complete Machine Learning Data Science Course in Python,https://www.udemy.com/course/the-complete-machine-learning-data-science-course-in-python/,Learn the Math behind every machine learning model and then implement it in Python,Rating: 4.4 out of 5,58 reviews,8.5 total hours,81 lectures,Intermediate,Coding School
Artificial Intelligence Bootcamp in R Programming,https://www.udemy.com/course/artificial-intelligence-bootcamp-in-r/,Practical Neural Networks and Deep Learning in R,Rating: 4.3 out of 5,58 reviews,10 total hours,85 lectures,Intermediate,"Minerva Singh, Ligency I Team, Ligency Team"
Build Neural Networks In Python From Scratch. Step By Step!,https://www.udemy.com/course/build-neural-networks-from-scratch-with-python-step-by-step/,"Understand machine learning basics like linear regression, gradient descent, deep learning and more without frameworks.",Rating: 4.8 out of 5,58 reviews,3 total hours,20 lectures,Intermediate,Loek van den Ouweland
Advanced Apache Spark for Data Scientists and Developers,https://www.udemy.com/course/advanced-apache-spark-for-data-scientists-and-developers/,Apache Spark,Rating: 3.7 out of 5,57 reviews,5.5 total hours,71 lectures,Intermediate,Adastra Academy
The Complete Machine Learning and Data Science Course in R,https://www.udemy.com/course/the-complete-machine-learning-and-data-science-course-in-r/,Become a real time professional Data Scientist by learning the intuition and  Math Behind each Machine Learning Model,Rating: 4.6 out of 5,57 reviews,17.5 total hours,146 lectures,All Levels,Data Science Academy
Machine Learning in Python,https://www.udemy.com/course/machine-learning-in-python/,"Learn model building, evaluation, algorithms, machine learning concepts, data science PLUS Python coding and libraries",Rating: 4.0 out of 5,57 reviews,15 total hours,230 lectures,All Levels,"Peter Alkema, Digital Regenesys"
Complete DataScience with Python and Tensorflow,https://www.udemy.com/course/complete-datascience-with-python-and-tensorflow/,"Learn about machine learning, deep learning, text analytics using python and tensorflow",Rating: 3.5 out of 5,57 reviews,11 total hours,147 lectures,All Levels,Nishant Srivastava
Microsoft Azure Machine Learning - DP-100,https://www.udemy.com/course/azure-machine-learning-bootcamp/,Learn Microsoft Azure Machine Learning Studio and prepare your DP-100 Certification Exam,Rating: 3.6 out of 5,57 reviews,6.5 total hours,45 lectures,All Levels,Data Science Training
Face Mask Recognition: Deep Learning based Desktop App,https://www.udemy.com/course/computer-vision-face-mask-detection-with-deep-learning/,"Learn and Build Face Recognition for Face Mask Detection Desktop App using Python, TensorFlow 2, OpenCV, PyQT, Qt",Rating: 4.9 out of 5,57 reviews,4.5 total hours,68 lectures,All Levels,"Gusksra R, Data Science Anywhere"
Market Basket Analysis & Linear Discriminant Analysis with R,https://www.udemy.com/course/market-basket-analysis-linear-discriminant-analysis-with-r/,"Master: Association rules (MBA) & it's usage, Linear Discriminant Analysis (LDA) for classification & variable selection",Rating: 4.0 out of 5,57 reviews,3.5 total hours,36 lectures,All Levels,Gopal Prasad Malakar
Predicting Diabetes on Diagnostic using Machine Learning,https://www.udemy.com/course/predicting-diabetes-on-diagnostic-using-machine-learning-examturf/,This course helps you to derive meaning out of huge data with help of ML and Python,Rating: 3.9 out of 5,57 reviews,1 total hour,10 lectures,All Levels,Exam Turf
Machine Learning and Deep Learning A-Z: Hands-On Python,https://www.udemy.com/course/machine-learning-and-deep-learning-a-z-hands-on-python/,Python Machine Learning and Python Deep Algorithms in Python Code templates included. Python in Data Science | 2021,Rating: 4.4 out of 5,57 reviews,19 total hours,104 lectures,All Levels,"Oak Academy, Ali̇ CAVDAR"
R Programming from Scratch for Data Science - Step by step,https://www.udemy.com/course/r-programming-for-beginner/,Learn R Language (Data Science) for beginners : Become Data Scientist,Rating: 4.4 out of 5,56 reviews,5.5 total hours,91 lectures,All Levels,Happy Learning
Programming Statistical Applications in R,https://www.udemy.com/course/programming-statistical-applications-in-r/,An introductory course that teaches the foundations of scientific and statistical programming using R software.,Rating: 3.7 out of 5,56 reviews,11 total hours,89 lectures,All Levels,"Geoffrey Hubona, Ph.D."
Machine Learning for Predictive Maps in Python and Leaflet,https://www.udemy.com/course/machine-learning-for-predictive-maps-in-python-and-leaflet/,Using the power of machine learning to build predictive map applications,Rating: 4.5 out of 5,56 reviews,6 total hours,32 lectures,All Levels,EBISYS R&D
Efficient R Programming with the Tidyverse,https://www.udemy.com/course/efficient-r-programming-with-the-tidyverse/,"Take your R programming skills to the next level with the core tidyverse packages of dplyr, tidyr, ggplot2 and magrittr",Rating: 4.5 out of 5,56 reviews,2.5 total hours,22 lectures,Beginner,Adam Hayward
Real data science problems with Python,https://www.udemy.com/course/real-data-science-problems-with-python/,Practice machine learning and data science with real problems,Rating: 3.8 out of 5,56 reviews,7.5 total hours,31 lectures,Intermediate,Francisco Juretig
Machine Learning A-Z™: Hands-On Python & R in Data Science,https://www.udemy.com/course/data-science-and-machine-learning-bootcamp-with-python-and-r/,"Machine Learning , Python, Advanced Data Visualization, R Programming, Linear Regression, Decision Trees,  NumPy, Pandas",Rating: 3.5 out of 5,55 reviews,15 total hours,151 lectures,All Levels,Apex Education
Get Friendly With A.I. Basics,https://www.udemy.com/course/get-friendly-with-ai-basics/,Towards Learning of basic skills of AI,Rating: 2.4 out of 5,55 reviews,1 total hour,10 lectures,Beginner,Dr. Dheeraj Mehrotra
Data Science: Machine Learning and Deep Learning with Python,https://www.udemy.com/course/data-science-machine-learning-and-deep-learning-with-python/,"Learn Data Science with Data Parsing, Data Visualization, Data Processing, Supervised & Unsupervised Machine Learning",Rating: 4.7 out of 5,55 reviews,14.5 total hours,60 lectures,All Levels,"Teach Premium, Teach Apex"
Build 25  Real World Machine Learning Project In 2022,https://www.udemy.com/course/learn-to-build-machine-learning-project/,Learn To Build Machine Learning Project Practically From Scratch,Rating: 4.9 out of 5,55 reviews,19 total hours,147 lectures,All Levels,The Machine Learning
Machine Learning in Python: From Zero to Hero in 10 Hours,https://www.udemy.com/course/applied-machine-learning-hands-on-course/,Machine Learning & Data Science in Python with real life projects. Source codes included.,Rating: 4.9 out of 5,55 reviews,8 total hours,75 lectures,All Levels,Sanjay Singh
Machine Learning Intro for Python Developers,https://www.udemy.com/course/machine-learning-intro-for-python-developers/,Get started with Machine Learning Algorithms,Rating: 4.2 out of 5,55 reviews,1 total hour,19 lectures,Beginner,Frank Anemaet
Excelling in Machine Learning using Python,https://www.udemy.com/course/excelling-in-machine-learning-using-python/,Learning Supervised & Unsupervised ML algorithms and implementation in Python,Rating: 3.9 out of 5,54 reviews,6 total hours,40 lectures,All Levels,Manoj Chandak
"Python Beyond Basics for Machine Learning,  Data Science, AI",https://www.udemy.com/course/python-basic-to-advance-mhm/,"Data Science, Machine Learning and Artificial Intelligence with Python",Rating: 4.0 out of 5,54 reviews,13.5 total hours,97 lectures,All Levels,Piyushh n Dave
Deep Learning with PyTorch,https://www.udemy.com/course/deep-learning-with-pytorch/,Build useful and effective deep learning models with the PyTorch Deep Learning framework,Rating: 4.0 out of 5,54 reviews,4.5 total hours,38 lectures,Intermediate,Packt Publishing
Data Science and Machine Learning with Java,https://www.udemy.com/course/data-science-and-machine-learning-with-java/,"Load, clean, analyze, and visualize your data in Java. Develop ML and DL models working on real-world projects",Rating: 3.7 out of 5,54 reviews,5.5 total hours,48 lectures,Beginner,Packt Publishing
Data Science Interview Preparation - Career Guide,https://www.udemy.com/course/data-science-interview/,Prepare for your Data Science Interview with this full guide on a career in Data Science including practice questions!,Rating: 4.6 out of 5,54 reviews,4 total hours,23 lectures,All Levels,Up Degree
Data Science-Unsupervised Machine Learning Using R,https://www.udemy.com/course/data-mining-unsupervised-learning-using-r/,"Recommender Systems, Association Rules, Dimension Reduction, Network Analysis",Rating: 3.4 out of 5,54 reviews,5 total hours,28 lectures,Intermediate,ExcelR Solutions
R: Complete Machine Learning Solutions,https://www.udemy.com/course/r-complete-machine-learning-solutions/,Use over 100 solutions to analyze data and build predictive models,Rating: 3.2 out of 5,54 reviews,8.5 total hours,125 lectures,Expert,Packt Publishing
Batch Processing with Apache Beam in Python,https://www.udemy.com/course/apache-beam-python/,"Easy to follow, hands-on introduction to batch data processing in Python",Rating: 3.3 out of 5,53 reviews,1 total hour,19 lectures,All Levels,Alexandra Abbas
LEARNING PATH: MATLAB: Powerful Machine Learning with MATLAB,https://www.udemy.com/course/learning-path-matlab-powerful-machine-learning-with-matlab/,Level up your machine learning skills to extract patterns and knowledge from your data with ease using MATLAB,Rating: 4.7 out of 5,53 reviews,4 total hours,28 lectures,Beginner,Packt Publishing
R Programming: R for Data Science and Data Analytics A-Z™,https://www.udemy.com/course/r-programming-beginners/,"Learn R Programming Hands-on - Vectors and Data Frames, R Packages & Functions, R in Data Visualization, Apply R for ML",Rating: 4.5 out of 5,53 reviews,7.5 total hours,34 lectures,All Levels,"Teach Premium, Apex Education"
130+ Exercises - Python - Data Science - Pandas - 2022,https://www.udemy.com/course/100-exercises-python-programming-data-science-pandas/,Improve your Python programming and data science skills and solve over 130 exercises in Pandas!,Rating: 4.6 out of 5,53 reviews,1 total hour,143 lectures,Beginner,Paweł Krakowiak
